['0/0', '0/5', '0/4', '0/29', '0/1', '0/0', '89/89']
['0/0', '0/1', '5/7', '8/18', '0/2', '0/0', '85/100']
['0/0', '2/4', '4/7', '5/17', '0/0', '0/0', '72/100']
['0/0', '3/4', '8/9', '10/18', '0/1', '0/0', '78/96']
['0/1', '1/2', '2/2', '7/21', '0/3', '0/0', '87/99']
['0/0', '0/3', '8/10', '9/20', '0/1', '0/0', '76/94']
['0/0', '1/2', '5/5', '7/17', '0/1', '0/0', '79/103']
['0/0', '1/2', '6/8', '7/14', '0/0', '0/0', '86/104']
['0/0', '2/2', '8/11', '5/16', '0/1', '0/0', '72/98']
['0/0', '1/6', '8/9', '8/19', '0/1', '0/0', '83/93']
['0/0', '0/3', '6/6', '10/17', '0/1', '0/0', '84/101']
['0/0', '1/3', '4/5', '8/15', '0/0', '0/0', '82/105']
['0/0', '0/0', '3/4', '8/21', '0/0', '0/0', '92/103']
['0/0', '0/1', '4/8', '7/16', '0/2', '0/0', '77/101']
['0/0', '0/7', '3/3', '9/20', '0/0', '0/0', '82/98']
['0/0', '0/0', '9/10', '9/17', '0/0', '0/0', '82/101']
['0/0', '1/2', '3/5', '12/25', '0/1', '0/0', '79/95']
['0/0', '3/3', '4/7', '7/17', '0/0', '0/0', '86/101']
['0/0', '1/2', '9/10', '10/21', '0/1', '0/0', '75/94']
['0/0', '1/3', '3/3', '5/21', '0/1', '0/0', '85/100']
['0/0', '0/4', '2/3', '14/26', '0/1', '0/0', '77/94']
['0/0', '0/2', '7/8', '13/20', '0/0', '0/0', '68/98']
['0/0', '2/4', '8/10', '6/15', '0/1', '0/0', '83/98']
['0/0', '1/1', '3/3', '8/10', '0/3', '0/0', '89/111']
['0/0', '0/1', '9/10', '1/10', '0/1', '0/0', '88/106']
['0/0', '0/2', '8/8', '9/16', '0/4', '0/0', '71/98']
['0/0', '0/1', '4/6', '9/19', '0/2', '0/0', '84/100']
['0/0', '1/3', '3/3', '5/15', '0/0', '0/0', '84/107']
['0/0', '0/1', '6/8', '7/15', '0/3', '0/0', '87/101']
['0/0', '0/1', '4/6', '9/14', '0/0', '0/0', '87/107']
['0/0', '1/5', '5/5', '7/22', '0/0', '0/0', '83/96']
['0/0', '0/1', '9/10', '6/15', '0/0', '0/0', '92/102']
['0/0', '0/4', '7/9', '9/20', '0/1', '0/0', '81/94']
['0/0', '1/3', '7/10', '12/19', '0/1', '0/0', '76/95']
['0/0', '0/1', '7/7', '8/24', '0/0', '0/0', '79/96']
['0/0', '0/1', '5/6', '7/24', '0/4', '0/0', '78/93']
['0/0', '2/4', '7/7', '5/14', '1/2', '0/0', '88/101']
['0/0', '1/5', '6/8', '7/16', '0/0', '0/0', '68/99']
['0/0', '2/6', '8/9', '6/17', '1/1', '0/0', '71/95']
['0/0', '1/2', '6/6', '7/13', '0/0', '0/0', '90/107']
['0/0', '0/1', '5/5', '5/11', '0/0', '0/0', '90/111']
['0/0', '0/1', '11/12', '6/10', '0/0', '0/0', '85/105']
['0/0', '0/0', '8/11', '10/16', '1/2', '0/0', '86/99']
['0/0', '0/2', '6/6', '9/21', '0/0', '0/0', '73/99']
['0/0', '1/2', '5/6', '11/24', '0/1', '0/0', '79/95']
['0/0', '5/7', '2/3', '8/22', '0/3', '0/0', '77/93']
['0/0', '1/3', '3/3', '6/19', '0/1', '0/0', '78/102']
['0/0', '1/3', '8/8', '8/16', '0/2', '0/0', '80/99']
['0/0', '3/9', '12/14', '4/10', '0/1', '0/0', '79/94']
['0/0', '3/7', '9/9', '8/19', '1/3', '0/0', '77/90']
['0/0', '2/3', '3/4', '10/17', '0/0', '0/0', '76/104']
['0/0', '2/4', '7/8', '11/20', '0/1', '0/0', '80/95']
['0/0', '1/4', '8/9', '7/20', '0/0', '0/0', '74/95']
['0/0', '0/1', '9/10', '5/17', '0/1', '0/0', '90/99']
['0/0', '2/6', '6/7', '9/16', '0/0', '0/0', '81/99']
['0/0', '2/5', '5/7', '9/26', '0/1', '0/0', '78/89']
['0/0', '1/4', '3/3', '11/19', '0/0', '0/0', '74/102']
['0/0', '0/1', '6/8', '4/14', '0/3', '0/0', '89/102']
['0/0', '1/2', '3/5', '9/21', '1/1', '0/0', '84/99']
['0/0', '0/1', '7/8', '10/22', '3/3', '0/0', '80/94']
['0/0', '0/4', '5/6', '16/23', '0/0', '0/0', '71/95']
['0/0', '0/4', '6/6', '7/15', '0/2', '0/0', '90/101']
['0/0', '2/3', '3/3', '9/18', '0/1', '0/0', '91/103']
['0/0', '0/1', '3/4', '5/21', '0/3', '0/0', '88/99']
['0/0', '2/5', '6/6', '15/27', '1/1', '0/0', '72/89']
['0/0', '0/2', '6/10', '8/14', '0/0', '0/0', '78/102']
['0/0', '1/4', '6/7', '10/20', '0/0', '0/0', '79/97']
['0/0', '2/4', '4/7', '8/15', '0/0', '0/0', '84/102']
['0/0', '3/3', '4/6', '7/21', '0/0', '0/0', '79/98']
['0/0', '1/3', '8/11', '4/9', '0/0', '0/0', '88/105']
['0/0', '1/3', '3/3', '9/14', '2/3', '0/0', '89/105']
['0/0', '1/3', '7/10', '11/15', '0/3', '0/0', '81/97']
['0/0', '0/2', '3/6', '12/24', '1/3', '0/0', '80/93']
['0/0', '0/2', '9/9', '6/12', '0/1', '0/0', '82/104']
['0/0', '2/3', '5/5', '7/13', '0/2', '0/0', '88/105']
['0/0', '1/2', '4/4', '12/20', '0/0', '0/0', '89/102']
['0/0', '0/0', '6/6', '15/25', '1/1', '0/0', '71/96']
['0/0', '0/0', '9/9', '4/9', '0/1', '0/0', '91/109']
['0/0', '1/2', '7/9', '10/17', '1/1', '0/0', '88/99']
['0/0', '2/7', '5/11', '6/15', '0/1', '0/0', '81/94']
['0/0', '1/1', '11/12', '6/12', '0/1', '0/0', '84/102']
['0/1', '1/4', '5/6', '8/16', '0/3', '0/0', '84/98']
['0/0', '1/2', '7/8', '13/23', '0/0', '0/0', '80/95']
['0/0', '1/2', '4/4', '3/16', '0/0', '0/0', '92/106']
['0/0', '0/0', '5/6', '12/21', '0/1', '0/0', '78/100']
['0/0', '0/3', '7/10', '7/14', '0/1', '0/0', '87/100']
['0/0', '0/0', '6/8', '8/14', '0/1', '0/0', '77/105']
['0/0', '0/1', '3/4', '8/17', '1/3', '0/0', '83/103']
['0/0', '1/5', '6/8', '13/19', '0/1', '0/0', '76/95']
['0/0', '0/2', '8/8', '10/14', '0/0', '0/0', '85/104']
['0/0', '1/1', '7/7', '9/14', '0/2', '0/0', '78/104']
['0/0', '0/0', '10/11', '8/17', '0/0', '0/0', '83/100']
['0/0', '0/2', '2/3', '14/21', '0/1', '0/0', '85/101']
['0/0', '1/3', '7/7', '10/19', '0/0', '0/0', '80/99']
['0/1', '0/1', '3/4', '5/18', '1/3', '0/0', '87/101']
['0/0', '2/2', '11/14', '9/15', '1/1', '0/0', '81/96']
['0/0', '0/4', '5/7', '5/14', '2/2', '0/0', '86/101']
['0/0', '1/3', '8/9', '6/11', '0/2', '0/0', '89/103']
['0/0', '0/0', '8/10', '19/25', '0/1', '0/0', '77/92']
['0/0', '1/3', '6/6', '11/18', '0/3', '0/0', '82/98']
['0/0', '0/2', '5/6', '11/19', '1/2', '0/0', '85/99']
['0/0', '0/2', '6/8', '10/19', '0/2', '0/0', '73/97']
['0/0', '1/4', '8/9', '7/16', '0/1', '0/0', '74/98']
['0/1', '0/2', '6/6', '4/10', '0/2', '0/0', '84/107']
['0/0', '2/3', '9/9', '12/22', '1/1', '0/0', '80/93']
['0/0', '3/4', '4/6', '7/12', '1/1', '0/0', '82/105']
['0/0', '2/4', '4/7', '10/13', '1/2', '0/0', '77/102']
['0/0', '0/0', '8/9', '15/19', '0/1', '0/0', '67/99']
['0/0', '0/2', '7/9', '6/12', '0/1', '0/0', '91/104']
['0/0', '0/1', '6/8', '9/13', '1/1', '0/0', '87/105']
['0/0', '1/5', '5/6', '15/18', '0/0', '0/0', '76/99']
['0/0', '2/3', '4/4', '17/26', '0/1', '0/0', '83/94']
['0/0', '0/0', '8/9', '10/17', '0/2', '0/0', '88/100']
['0/0', '2/3', '6/6', '6/14', '0/1', '0/0', '87/104']
['0/0', '0/2', '6/7', '15/25', '0/1', '0/0', '75/93']
['0/0', '0/4', '2/2', '6/18', '0/0', '0/0', '75/104']
['0/0', '1/1', '9/11', '13/20', '0/0', '0/0', '72/96']
['0/0', '2/2', '5/6', '6/15', '0/1', '0/0', '94/104']
['0/0', '1/1', '5/5', '10/23', '0/1', '0/0', '79/98']
['0/0', '2/4', '4/5', '6/16', '0/0', '0/0', '86/103']
['0/0', '1/3', '5/6', '9/17', '1/1', '0/0', '86/101']
['0/1', '0/1', '12/12', '9/17', '0/0', '0/0', '88/97']
['0/0', '0/4', '5/5', '15/21', '0/0', '0/0', '78/98']
['0/0', '1/2', '2/3', '8/11', '1/4', '0/0', '94/108']
['0/0', '0/1', '3/4', '7/17', '0/1', '0/0', '89/105']
['0/0', '1/3', '5/5', '10/17', '0/0', '0/0', '79/103']
['0/0', '1/2', '9/9', '10/16', '0/0', '0/0', '88/101']
['0/0', '2/3', '5/5', '11/15', '0/1', '0/0', '83/104']
['0/0', '0/0', '5/5', '9/18', '0/0', '0/0', '94/105']
['0/0', '3/3', '7/7', '10/14', '0/1', '0/0', '84/103']
['0/0', '1/3', '7/7', '12/17', '0/1', '0/0', '79/100']
['0/0', '2/4', '7/7', '11/18', '0/1', '0/0', '79/98']
['0/0', '0/1', '8/8', '15/22', '0/0', '0/0', '76/97']
['0/0', '0/1', '10/10', '13/16', '0/0', '0/0', '85/101']
['0/0', '0/7', '6/7', '12/19', '0/1', '0/0', '69/94']
['0/0', '3/3', '2/3', '11/18', '1/1', '0/0', '85/103']
['0/0', '1/2', '12/12', '11/20', '0/1', '0/0', '77/93']
['0/0', '0/1', '2/2', '7/11', '0/0', '0/0', '95/114']
['0/0', '1/1', '7/7', '7/14', '2/2', '0/0', '82/104']
['0/0', '0/2', '11/11', '13/22', '0/0', '0/0', '78/93']
['0/0', '4/5', '5/6', '14/19', '1/1', '0/0', '83/97']
['0/0', '3/4', '7/8', '13/19', '0/1', '0/0', '75/96']
['0/0', '1/3', '10/10', '10/18', '0/2', '0/0', '80/95']
['0/0', '1/3', '6/6', '6/13', '0/1', '0/0', '90/105']
['0/0', '5/6', '6/6', '9/19', '0/1', '0/0', '79/96']
['0/0', '0/1', '3/3', '12/20', '0/1', '0/0', '73/103']
['0/0', '0/1', '6/6', '13/21', '0/1', '0/0', '79/99']
['0/0', '1/2', '2/2', '14/27', '0/2', '0/0', '74/95']
['0/0', '2/6', '7/7', '9/15', '0/0', '0/0', '75/100']
['0/0', '0/2', '4/4', '16/20', '0/1', '0/0', '80/101']
['0/0', '2/4', '7/7', '14/24', '0/1', '0/0', '74/92']
['0/0', '2/5', '8/9', '6/10', '0/0', '0/0', '84/104']
['0/0', '2/4', '11/12', '15/19', '0/0', '0/0', '84/93']
['0/0', '3/5', '7/7', '13/20', '0/0', '0/0', '76/96']
['0/0', '0/1', '8/8', '11/17', '2/3', '0/0', '81/99']
['0/0', '1/2', '7/8', '11/18', '0/0', '0/0', '83/100']
['0/0', '3/5', '5/8', '11/16', '0/0', '0/0', '86/99']
['0/0', '0/1', '5/5', '12/17', '1/1', '0/0', '85/104']
['0/0', '1/1', '6/6', '10/16', '0/0', '0/0', '83/105']
['0/0', '2/2', '6/7', '7/13', '0/1', '0/0', '74/105']
['0/0', '1/2', '4/4', '9/14', '0/0', '0/0', '91/108']
['0/0', '1/4', '7/9', '11/14', '0/0', '0/0', '96/101']
['0/0', '1/1', '10/10', '9/16', '0/1', '0/0', '85/100']
['0/0', '2/4', '5/5', '8/14', '0/0', '0/0', '87/105']
['0/0', '1/1', '6/8', '7/13', '3/4', '0/0', '93/102']
['0/0', '1/4', '2/3', '8/14', '0/0', '0/0', '92/107']
['0/0', '4/7', '9/10', '10/16', '0/2', '0/0', '73/93']
['0/0', '0/2', '8/9', '13/18', '0/0', '0/0', '70/99']
['0/0', '1/3', '4/5', '12/20', '0/0', '0/0', '81/100']
['0/0', '3/3', '5/5', '14/21', '0/0', '0/0', '84/99']
['0/0', '2/3', '8/10', '10/16', '0/1', '0/0', '81/98']
['0/0', '2/5', '4/4', '9/11', '2/2', '0/0', '85/106']
['0/0', '0/0', '12/13', '14/20', '0/1', '0/0', '78/94']
['0/0', '2/4', '9/9', '17/23', '0/0', '0/0', '81/92']
['0/0', '2/2', '5/5', '8/14', '0/0', '0/0', '84/107']
['0/0', '1/4', '7/7', '19/23', '0/0', '0/0', '80/94']
['0/0', '2/2', '9/9', '14/22', '1/2', '0/0', '71/93']
['0/0', '1/1', '5/5', '16/23', '0/2', '0/0', '77/97']
['0/0', '3/3', '4/4', '13/20', '0/0', '0/0', '88/101']
['0/0', '1/2', '6/6', '11/15', '0/0', '0/0', '90/105']
['0/0', '2/4', '5/5', '11/19', '0/2', '0/0', '83/98']
['0/0', '1/1', '9/9', '13/16', '0/1', '0/0', '76/101']
['0/0', '1/3', '4/6', '6/17', '0/0', '0/0', '89/102']
['0/0', '1/1', '4/4', '6/8', '0/0', '0/0', '90/115']
['0/0', '1/1', '2/2', '6/12', '1/2', '0/0', '90/111']
