['0/0', '0/5', '0/4', '0/29', '0/1', '0/0', '89/89']
['0/0', '0/1', '5/7', '8/18', '0/2', '0/0', '85/100']
['0/0', '2/4', '4/7', '5/17', '0/0', '0/0', '72/100']
['0/0', '3/4', '8/9', '10/18', '0/1', '0/0', '78/96']
['0/1', '1/2', '2/2', '7/21', '0/3', '0/0', '87/99']
['0/0', '0/3', '8/10', '9/20', '0/1', '0/0', '76/94']
['0/0', '1/2', '5/5', '7/17', '0/1', '0/0', '79/103']
['0/0', '1/2', '6/8', '7/14', '0/0', '0/0', '86/104']
['0/0', '2/2', '8/11', '5/16', '0/1', '0/0', '72/98']
['0/0', '1/6', '8/9', '8/19', '0/1', '0/0', '83/93']
['0/0', '0/3', '6/6', '10/17', '0/1', '0/0', '84/101']
['0/0', '1/3', '4/5', '8/15', '0/0', '0/0', '82/105']
['0/0', '0/0', '3/4', '8/21', '0/0', '0/0', '92/103']
['0/0', '0/1', '4/8', '7/16', '0/2', '0/0', '77/101']
['0/0', '0/7', '3/3', '9/20', '0/0', '0/0', '82/98']
['0/0', '0/0', '9/10', '9/17', '0/0', '0/0', '82/101']
['0/0', '1/2', '3/5', '12/25', '0/1', '0/0', '79/95']
['0/0', '3/3', '4/7', '7/17', '0/0', '0/0', '86/101']
['0/0', '1/2', '9/10', '10/21', '0/1', '0/0', '75/94']
['0/0', '1/3', '3/3', '5/21', '0/1', '0/0', '85/100']
['0/0', '0/4', '2/3', '14/26', '0/1', '0/0', '77/94']
['0/0', '0/2', '7/8', '13/20', '0/0', '0/0', '68/98']
['0/0', '2/4', '8/10', '6/15', '0/1', '0/0', '83/98']
['0/0', '1/1', '3/3', '8/10', '0/3', '0/0', '89/111']
['0/0', '0/1', '9/10', '1/10', '0/1', '0/0', '88/106']
['0/0', '0/2', '8/8', '9/16', '0/4', '0/0', '71/98']
['0/0', '0/1', '4/6', '9/19', '0/2', '0/0', '84/100']
['0/0', '1/3', '3/3', '5/15', '0/0', '0/0', '84/107']
['0/0', '0/1', '6/8', '7/15', '0/3', '0/0', '87/101']
['0/0', '0/1', '4/6', '9/14', '0/0', '0/0', '87/107']
['0/0', '1/5', '5/5', '7/22', '0/0', '0/0', '83/96']
['0/0', '0/1', '9/10', '6/15', '0/0', '0/0', '92/102']
['0/0', '0/4', '7/9', '9/20', '0/1', '0/0', '81/94']
['0/0', '1/3', '7/10', '12/19', '0/1', '0/0', '76/95']
['0/0', '0/1', '7/7', '8/24', '0/0', '0/0', '79/96']
['0/0', '0/1', '5/6', '7/24', '0/4', '0/0', '78/93']
['0/0', '2/4', '7/7', '5/14', '1/2', '0/0', '88/101']
['0/0', '1/5', '6/8', '7/16', '0/0', '0/0', '68/99']
['0/0', '2/6', '8/9', '6/17', '1/1', '0/0', '71/95']
['0/0', '1/2', '6/6', '7/13', '0/0', '0/0', '90/107']
['0/0', '0/1', '5/5', '5/11', '0/0', '0/0', '90/111']
['0/0', '0/1', '11/12', '6/10', '0/0', '0/0', '85/105']
['0/0', '0/0', '8/11', '10/16', '1/2', '0/0', '86/99']
['0/0', '0/2', '6/6', '9/21', '0/0', '0/0', '73/99']
['0/0', '1/2', '5/6', '11/24', '0/1', '0/0', '79/95']
['0/0', '5/7', '2/3', '8/22', '0/3', '0/0', '77/93']
['0/0', '1/3', '3/3', '6/19', '0/1', '0/0', '78/102']
['0/0', '1/3', '8/8', '8/16', '0/2', '0/0', '80/99']
['0/0', '3/9', '12/14', '4/10', '0/1', '0/0', '79/94']
